Actual,Predicted
3,2.63
2,2.095
1,2.885
4,2.645
4,2.88
3,2.145
1,2.12
1,3.065
4,2.82
2,2.785
3,2.8
2,3.405
2,2.885
1,1.9
1,2.655
2,2.575
4,2.775
2,2.375
2,2.345
4,3.055
3,2.41
4,2.27
3,1.91
2,2.87
3,2.72
1,2.845
2,2.335
3,3.05
4,2.46
3,2.71
1,2.585
1,2.42
3,2.59
4,2.235
1,2.48
3,2.69
4,2.035
1,2.035
1,2.395
3,2.565
4,2.155
2,2.265
3,1.905
4,2.335
4,2.04
4,2.42
1,2.68
1,2.635
2,2.705
2,2.725
1,2.225
2,3.02
4,2.18
1,2.51
1,2.625
4,2.375
1,2.845
2,2.575
4,2.47
1,2.51
2,2.37
4,2.425
2,2.175
4,2.445
2,2.76
3,2.22
4,2.655
1,2.4
4,2.745
1,1.925
3,2.99
4,2.465
4,2.205
4,2.78
3,2.34
2,2.375
3,3.145
1,2.555
3,2.87
4,2.36
3,2.565
4,2.515
4,2.41
1,2.845
1,2.14
2,2.19
3,2.505
4,2.385
4,2.775
2,2.74
3,1.79
3,2.465
1,2.98
3,2.78
3,2.54
4,2.98
4,3.25
4,2.47
4,2.335
3,2.745
1,1.845
2,2.445
1,2.555
4,2.835
3,2.585
4,2.64
1,2.925
2,2.54
3,3.295
3,1.955
3,2.975
4,2.06
2,2.22
4,2.74
2,2.445
4,2.705
1,2.775
1,2.4
3,2.18
3,2.69
1,1.93
3,2.655
1,3.04
2,2.295
1,2.895
1,2.395
4,2.69
1,1.895
1,3.09
4,2.21
2,2.305
2,2.38
2,2.255
1,3.34
4,2.365
3,3.075
4,3.07
2,2.65
2,2.38
3,2.4
1,2.34
3,2.62
3,2.89
4,2.56
1,2.2
3,2.26
2,2.245
3,3.14
2,2.43
1,2.35
3,2.315
4,2.71
3,2.505
3,3.31
3,2.375
3,2.705
1,2.48
1,2.925
4,1.74
4,2.96
1,2.885
3,2.26
1,2.46
3,2.475
1,1.925
4,2.535
2,2.425
3,2.675
2,2.49
4,2.19
1,2.93
4,2.27
3,3.0
2,2.47
4,2.745
1,2.93
1,3.315
2,2.855
4,2.565
3,2.43
2,2.615
3,2.48
1,2.5
2,2.545
1,2.27
4,2.225
3,2.905
2,3.185
4,2.035
3,2.33
2,2.5
3,3.195
1,2.715
3,2.44
2,2.0
3,2.57
4,1.885
4,1.99
4,2.385
1,3.09
